name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
computeKey_passive,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,788,2104866,0.019497,1,2104866,2104866,2104866,0.000000
JOIN_response,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,259,528473,0.004895,11,48043,40,525578,158380.571539
on_JOIN,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,561,15858740,0.146894,11,1441703,820132,2240581,579174.714557
gkexchg_success,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,1037,12965,0.000120,1,12965,12965,12965,0.000000
on_JOIN_response,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,440,98118431,0.908840,12,8176535,5842892,11174874,2010529.319266
gka and attest,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,861,757148386,7.013223,1,757148386,757148386,757148386,0.000000
gka,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,864,697513777,6.460847,1,697513777,697513777,697513777,0.000000
ra_attest,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,938,445243009,4.124143,1,445243009,445243009,445243009,0.000000
round1,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,662,1128220,0.010450,1,1128220,1128220,1128220,0.000000
ra_verify,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,904,11815489,0.109443,11,1074135,1062948,1098665,10840.083524
round2,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,701,1683114,0.015590,1,1683114,1683114,1683114,0.000000
LCMsec Startup,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,222,1646471839,15.250741,1,1646471839,1646471839,1646471839,0.000000
JOIN,/home/moritz/Documents/Studium/Praktikum/sketches/lcm_proof_of_concept/lcm/lcm/lcmsec/gkexchg.cpp,231,270769,0.002508,1,270769,270769,270769,0.000000
